masterid,stationcode,latitude,longitude
111PS0060,111PS0060,40.1289,-123.11226
111PS0095,111PS0095,39.78908,-123.73694
111PS0110,111PS0110,39.35153,-122.87673
111PS0121,111PS0121,40.22576,-123.84549
111PS0144,111PS0144,39.90023,-123.01722
111PS0159,111PS0159,39.79971,-123.65586
111PS0160,111PS0160,39.44605,-123.02893
111PS0169,111PS0169,40.58297,-123.98891
111PS0178,111PS0178,40.67994,-123.95064
111PS0204,111PS0204,39.27704,-122.86602
111PS0237,111PS0237,40.33346,-123.46499
111PS0269,111PS0269,40.35056784,-123.9930636
111PS0313,111PS0313,40.49036719,-123.9070108
111PS0322,111PS0322,40.36839,-123.7380967
111RFCBBC,111RFCBBC,39.32615,-122.87057
111RSC101,111RSC101,39.80306,-123.54417
111RSCAER,111RSCAER,39.98777,-123.05131
111RSCAER,R5BIO-161,39.98777,-123.05131
111SF1016,111SF1016,40.26682,-123.86703
111SF1569,111SF1569,40.24307,-123.83101
111SF1944,111SF1944,40.21684,-123.79095
111SF2538,111SF2538,40.14781,-123.8019
111TGCAER,111TGCAER,39.39523,-122.86543
111TGCAER,R5BIO-158,39.39523,-122.86543
111TKCAER,111TKCAER,39.42398,-123.14334
111TTCAER,111TTCAER,39.37753,-123.06525
111WE0600,111WE0600,40.52712,-124.1702
111WE0606,111WE0606,39.79937,-123.7449
111WE0618,111WE0618,40.6568,-123.9803
111WE0813,111WE0813,39.95969,-123.43736
111WE0814,111WE0814,40.39042,-123.92781
111WE0816,111WE0816,39.58789,-122.9165
111WE0825,111WE0825,40.49018,-123.61268
111WE0832,111WE0832,39.65009,-123.60805
111WE0837,111WE0837,39.8693,-123.05088
111WE0844,111WE0844,40.31673,-123.99758
111WE1050,111WE1050,39.71181,-122.8409
111WE1056,111WE1056,40.29079,-123.45477
111WE1057,111WE1057,40.49014,-124.00231
111WE1065,111WE1065,39.44159,-122.82022
111WE1071,111WE1071,39.70044,-122.81126
111WE1074,111WE1074,40.59509,-123.91843
111WE1075,111WE1075,40.03758,-123.88138
111WE1092,111WE1092,40.22275,-123.72062
111WE1106,111WE1106,40.61985,-124.03025
111WER003,111WER003,39.53861,-122.86028
111WER008,111WER008,39.49361,-122.86417
111WER008,R5BIO-006,39.49361,-122.86417
111WER022,111WER022,39.985,-123.0504
111WER036,111WER036,40.16118,-123.4009
111WER046,111WER046,39.74028,-123.62972
111WER047,111WER047,39.72944,-123.63139
111WER077,111WER077,40.29556,-123.90361
111WER080,111WER080,40.1225,-123.84222
111WER098,111WER098,40.48843,-123.90767
111WER159,111WER159,39.42944,-122.84444
112NC0349,112NC0349,40.31713099,-124.1187428
112PS0157,112PS0157,40.2316,-124.11221
112WE1063,112WE1063,40.16947,-124.04001
112WER078,112WER078,40.21917,-124.11222
113BGRRRG,113BGRRRG,39.31526,-123.70791
113CE0001,113CE0001,39.5475,-123.72388
113CE0097,113CE0097,39.25472,-123.51
113CE0487,113CE0487,39.1,-123.50083
113DNCAH1,113DNCAH1,39.79889,-123.82083
113GAR010,113GAR010,38.83737,-123.54644
