masterid,latitude,longitude,huc,county,psa_lu,comid,psa6c,regionalboardnumber,area_sqkm,new_lat,new_long,site_elev,elev_range,ppt_00_09,maxwd_ws,meanp_ws,minp_ws,sumave_p,xwd_ws,temp_00_09,tmax_ws,atmca,atmmg,atmso4,bdh_ave,kfct_ave,lprem_mean,prmh_ave,ucs_mean,cao_mean,mgo_mean,s_mean,p_mean,urban_2011_ws,urban_2011_5k,urban_2011_1k,ag_2011_ws,ag_2011_5k,ag_2011_1k,code_21_2011_ws,code_21_2011_5k,code_21_2011_1k,roaddens_ws,roaddens_5k,roaddens_1k,paved_int_ws,paved_int_5k,paved_int_1k,invdamdist,mines_5k,MaxW1_HALL,RefStatus
403S00960,34.59078,-118.4617,403,Los Angeles,Other,17569839,SC,4,7.44546,34.5907602,-118.46176,664,681,43266.9,6,505.9375,0.3333,629.2524,37,2391,330.3333,0.0562,0.0304,0.3742,1.6205,0.1924,-1.3653,6.7553,146.7808,4.5171,1.6229,0.0478,0.1281,0,0,0,0,0,0,1.237414,1.237414,2.908856,0.03158005,0.03158005,0,0,0,0,0,0,0.33,Reference
305CAW057,36.9175,-121.73556,305,Santa Cruz,Urban,17663255,CH,3,138.096104,36.91698,-121.73765,17,849,54570.10156,10.9287,743.5333,0.5671,589.4854,62.4014,1969,269.5061,0.0426,0.0323,0.2419,1.5016,0.2429,0.4816,3.6418,37.4952,4.5896,2.2483,0.3871,0.1256,8.30351498,28.20985585,71,9,34,18,16.80190837,20.05251983,11.05371901,3.53787057,3.85308202,10.36540618,105,15,0,0,0,-Inf,Non-reference
519AC0004,38.64389,-121.35,519,Sacramento,Urban,15022615,CV,5,74.13837,38.6438938,-121.34992,22,64,48237.2,8.2335,606.3333,0.9432,606.9638,52.881100000000004,2401,344.4432,0.05266667,0.05783333,0.3402667,1.65,0.339,-0.7932,2.032,81.8993,3.4352,1.1597,0.073,0.1169,79.23731,83.70269,72,0,0,0,21.79257,16.29731,27.92005,12.22044,12.79306,10.99731,185,37,2,0,0,-Inf,Non-reference
205R00170,37.2482,-122.0721,205,Santa Clara,Forest,17693075,CH,2,4.9,37.2482,-122.0721,285,654,95968.29688,10.6875,1078.667,1.166667,1014,66.6875,2069,266.8333,0.04466679,0.03903739,0.2630919,1.46,0.2,-0.64,3.82,94.80801,15.5,6.21,1.01,0.14,0.05513692,0.05513692,0,0,0,0,5.348282,5.348282,9.5526,2.53798813,2.53798815,2.9825477,9,9,0,0,0,-Inf,Non-reference
517PLC127,39.5847,-120.8103,517,Sierra,Forest,8058251,SN,5,62.53736,39.5846627,-120.81029,969,1330,155604.1,12.5928,1875.5,9.9342,4112.786,87.2423,1846,255.2763,0.0467,0.0231,0.21,1.3623,0.161,-0.9653,3.9439,143.8851,5.7039,3.5144,0.0537,0.135,0,0,0,0,0,0,0,0,0,0.7781584,0.03723474,0.2100437,8,0,0,0,0,-Inf,Reference
403R4S225,34.39739,-119.07745,403,Ventura,Other,17573647,SC,4,103.5369,34.39615489,-119.0770423,201,1841,51889.69922,6.4125,666.2541667,2.08934048,424.5699007,35.76875,2369,309.7822581,0.05979297,0.02876547,0.36214241,1.54247755,0.29254047,-0.61942843,2.18609955,66.07588996,4.49919094,0,0.95865907,0.1296148,0.13821159,0.57939164,3,1,6,21,2.55474135,8.48109485,17.73504274,0.94067789,2.95121237,3.00320072,30,12,0,0,0,-Inf,Non-reference
SMC16258,33.69039,-116.84792,802,Riverside,Other,22535364,SC,8,102.3345,33.69175722,-116.8493084,679,1399,31798.19922,6.48580442,473.8297872,2.0133368,2670.941842,38.94321767,2609,326.7983871,0.08625252,0.03027464,0.42744476,1.60155755,0.17472979,-1.30747992,9.14710205,127.6240706,3.67869401,3.20967742,0.04558678,0.14146137,0.03693769,0.02705774,0,0,0,0,2.30156985,2.20250014,4.39637125,0.10046055,0.61740318,1.06741031,12,1,1,0,0,-Inf,Reference
907SDBOC2,32.96353,-116.66406,907,San Diego,Other,20332536,SC,9,62.505,32.9631128,-116.66458,805,1161,42507.7,7.5959,851.4792,6.3919,3231.155,51.0052,2325,288.2297,0.1027,0.0313,0.44,1.4916,0.2221,-0.9663,4.4135,173.898,5.534,3.5116,0.0418,0.1576,0.2188404,0.02578117,0,0,0,0,4.381128,2.222337,8.433735,1.042269,0.3688355,0.8491103,11,1,1,0,3,-Inf,Non-reference
113GAR112,38.92488,-123.49069,113,Mendocino,Forest,2666835,NC,1,17.866307,38.9248844,-123.49051,145,628,112045.7969,12.9444,1331.6586,3.25,1327.6473,78.463,2145,304.7,0.0331,0.0376,0.2127,1.4875,0.201,-0.684,4.0003,81.1546,3.1326,1.9775,0.0497,0.141,0.00502588,0.00523972,0,0,0,0,4.3323114,4.11317789,6.20408163,2.2939369,2.14987489,3.8437202,0,0,0,0,0,-Inf,Non-reference
SMC01567_archived,34.5096111,-119.38373,402,Ventura,Other,17585756,SC,4,32.29398,34.5096111,-119.38373,499,1244,69390.3,6.26,788.6575,0,409.0235,34.96,2271,313.8055,0.0615,0.028,0.3497,1.5356,0.2545,-0.7426,1.6259,69.5336,3.3761,1.7201,1.0004,0.1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-Inf,Reference
