"BiostimVar","BSPretty","Stratum","BIgoal","Prob","Prob2","LowestThreshold","LowestValidatedThreshold"
"Nitrogen_Total_mgPerL","Total N","Wet","BCG4","p90","90% rel prob",0.453453453453453,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","BCG4","p95","95% rel prob",0.285285285285285,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","Ref01","p50","50% rel prob",0.870870870870871,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","Ref01","p80","80% rel prob",0.495495495495495,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","Ref01","p90","90% rel prob",0.315315315315315,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","Ref01","p95","95% rel prob",0.189189189189189,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","Ref10","p50","50% rel prob",0.528528528528528,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","Ref10","p80","80% rel prob",0.249249249249249,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","Ref10","p90","90% rel prob",0.138138138138138,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","Ref10","p95","95% rel prob",0.0750750750750751,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","Ref30","p50","50% rel prob",0.423423423423423,0.525525525525526
"Nitrogen_Total_mgPerL","Total N","Wet","Ref30","p80","80% rel prob",0.168168168168168,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","Ref30","p90","90% rel prob",0.0840840840840841,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","Ref30","p95","95% rel prob",0.042042042042042,Inf
"PCT_MAP","% cover","Arid","BCG3","p50","50% rel prob",68.0680680680681,92.7927927927928
"PCT_MAP","% cover","Arid","BCG3","p80","80% rel prob",23.7237237237237,25.4254254254254
"PCT_MAP","% cover","Arid","BCG3","p90","90% rel prob",11.5115115115115,12.3123123123123
"PCT_MAP","% cover","Arid","BCG3","p95","95% rel prob",5.60560560560561,6.00600600600601
"PCT_MAP","% cover","Arid","BCG4","p50","50% rel prob",Inf,Inf
"PCT_MAP","% cover","Arid","BCG4","p80","80% rel prob",58.958958958959,72.6726726726727
"PCT_MAP","% cover","Arid","BCG4","p90","90% rel prob",31.8318318318318,31.8318318318318
"PCT_MAP","% cover","Arid","BCG4","p95","95% rel prob",16.7167167167167,16.7167167167167
"PCT_MAP","% cover","Arid","Ref01","p50","50% rel prob",80.4804804804805,Inf
"PCT_MAP","% cover","Arid","Ref01","p80","80% rel prob",34.034034034034,34.034034034034
"PCT_MAP","% cover","Arid","Ref01","p90","90% rel prob",17.9179179179179,17.9179179179179
"PCT_MAP","% cover","Arid","Ref01","p95","95% rel prob",9.20920920920921,9.20920920920921
"PCT_MAP","% cover","Arid","Ref10","p50","50% rel prob",66.8668668668669,80.5805805805806
"PCT_MAP","% cover","Arid","Ref10","p80","80% rel prob",25.1251251251251,32.032032032032
"PCT_MAP","% cover","Arid","Ref10","p90","90% rel prob",12.5125125125125,16.3163163163163
"PCT_MAP","% cover","Arid","Ref10","p95","95% rel prob",6.20620620620621,8.30830830830831
"PCT_MAP","% cover","Arid","Ref30","p50","50% rel prob",64.0640640640641,Inf
"PCT_MAP","% cover","Arid","Ref30","p80","80% rel prob",22.4224224224224,23.6236236236236
"PCT_MAP","% cover","Arid","Ref30","p90","90% rel prob",10.9109109109109,11.6116116116116
"PCT_MAP","% cover","Arid","Ref30","p95","95% rel prob",5.3053053053053,5.80580580580581
"PCT_MAP","% cover","California","BCG3","p50","50% rel prob",71.2712712712713,71.2712712712713
"PCT_MAP","% cover","California","BCG3","p80","80% rel prob",25.5255255255255,25.5255255255255
"PCT_MAP","% cover","California","BCG3","p90","90% rel prob",12.4124124124124,14.6146146146146
"PCT_MAP","% cover","California","BCG3","p95","95% rel prob",6.10610610610611,6.10610610610611
"PCT_MAP","% cover","California","BCG4","p50","50% rel prob",Inf,Inf
"PCT_MAP","% cover","California","BCG4","p80","80% rel prob",52.4524524524525,56.956956956957
"PCT_MAP","% cover","California","BCG4","p90","90% rel prob",30.3303303303303,30.3303303303303
"PCT_MAP","% cover","California","BCG4","p95","95% rel prob",16.8168168168168,16.8168168168168
"PCT_MAP","% cover","California","Ref01","p50","50% rel prob",80.0800800800801,Inf
"PCT_MAP","% cover","California","Ref01","p80","80% rel prob",36.8368368368368,36.8368368368368
"PCT_MAP","% cover","California","Ref01","p90","90% rel prob",20.3203203203203,20.3203203203203
"PCT_MAP","% cover","California","Ref01","p95","95% rel prob",10.8108108108108,10.8108108108108
"PCT_MAP","% cover","California","Ref10","p50","50% rel prob",67.7677677677678,67.7677677677678
"PCT_MAP","% cover","California","Ref10","p80","80% rel prob",26.7267267267267,26.7267267267267
"PCT_MAP","% cover","California","Ref10","p90","90% rel prob",13.6136136136136,13.6136136136136
"PCT_MAP","% cover","California","Ref10","p95","95% rel prob",6.80680680680681,6.80680680680681
"PCT_MAP","% cover","California","Ref30","p50","50% rel prob",55.0550550550551,55.0550550550551
"PCT_MAP","% cover","California","Ref30","p80","80% rel prob",21.4214214214214,21.4214214214214
"PCT_MAP","% cover","California","Ref30","p90","90% rel prob",10.8108108108108,10.8108108108108
"PCT_MAP","% cover","California","Ref30","p95","95% rel prob",5.40540540540541,5.40540540540541
"PCT_MAP","% cover","Wet","BCG3","p50","50% rel prob",90.0900900900901,Inf
"PCT_MAP","% cover","Wet","BCG3","p80","80% rel prob",47.1471471471472,47.1471471471472
"PCT_MAP","% cover","Wet","BCG3","p90","90% rel prob",28.1281281281281,28.1281281281281
"PCT_MAP","% cover","Wet","BCG3","p95","95% rel prob",15.9159159159159,Inf
"PCT_MAP","% cover","Wet","BCG4","p50","50% rel prob",Inf,Inf
"PCT_MAP","% cover","Wet","BCG4","p80","80% rel prob",69.4694694694695,Inf
"PCT_MAP","% cover","Wet","BCG4","p90","90% rel prob",50.2502502502503,Inf
"PCT_MAP","% cover","Wet","BCG4","p95","95% rel prob",34.5345345345345,Inf
"PCT_MAP","% cover","Wet","Ref01","p50","50% rel prob",Inf,Inf
"PCT_MAP","% cover","Wet","Ref01","p80","80% rel prob",69.4694694694695,Inf
"PCT_MAP","% cover","Wet","Ref01","p90","90% rel prob",50.2502502502503,Inf
"PCT_MAP","% cover","Wet","Ref01","p95","95% rel prob",34.5345345345345,Inf
"PCT_MAP","% cover","Wet","Ref10","p50","50% rel prob",Inf,Inf
"PCT_MAP","% cover","Wet","Ref10","p80","80% rel prob",55.7557557557558,Inf
"PCT_MAP","% cover","Wet","Ref10","p90","90% rel prob",34.1341341341341,Inf
"PCT_MAP","% cover","Wet","Ref10","p95","95% rel prob",19.7197197197197,19.7197197197197
"PCT_MAP","% cover","Wet","Ref30","p50","50% rel prob",73.8738738738739,Inf
"PCT_MAP","% cover","Wet","Ref30","p80","80% rel prob",32.2322322322322,Inf
"PCT_MAP","% cover","Wet","Ref30","p90","90% rel prob",17.2172172172172,17.2172172172172
"PCT_MAP","% cover","Wet","Ref30","p95","95% rel prob",8.90890890890891,Inf
"Phosphorus_as_P_mgPerL","Total P","Arid","BCG3","p50","50% rel prob",0.051051051051051,0.051051051051051
"Phosphorus_as_P_mgPerL","Total P","Arid","BCG3","p80","80% rel prob",0.0195195195195195,0.0195195195195195
"Phosphorus_as_P_mgPerL","Total P","Arid","BCG3","p90","90% rel prob",0.00900900900900901,0.0105105105105105
"Phosphorus_as_P_mgPerL","Total P","Arid","BCG3","p95","95% rel prob",0.0045045045045045,0.0285285285285285
"Phosphorus_as_P_mgPerL","Total P","Arid","BCG4","p50","50% rel prob",0.56006006006006,0.56006006006006
"Phosphorus_as_P_mgPerL","Total P","Arid","BCG4","p80","80% rel prob",0.252252252252252,0.252252252252252
"Phosphorus_as_P_mgPerL","Total P","Arid","BCG4","p90","90% rel prob",0.136636636636637,0.136636636636637
"Phosphorus_as_P_mgPerL","Total P","Arid","BCG4","p95","95% rel prob",0.0720720720720721,0.0720720720720721
"Phosphorus_as_P_mgPerL","Total P","Arid","Ref01","p50","50% rel prob",0.34984984984985,0.34984984984985
"Phosphorus_as_P_mgPerL","Total P","Arid","Ref01","p80","80% rel prob",0.147147147147147,0.147147147147147
"Phosphorus_as_P_mgPerL","Total P","Arid","Ref01","p90","90% rel prob",0.0765765765765766,0.0765765765765766
