masterid,sampledate,XSLOPE,PCT_FN,PCT_HP
404S17266,2009-05-19T07:00:00Z,0.8,2,0
404S17664,2009-05-20T07:00:00Z,0.9,38,0
404S22464,2009-05-19T07:00:00Z,1.1,0,0
404VCBSCL,2006-06-06T07:00:00Z,0.5,3,0
404VCLSCL,2006-06-06T07:00:00Z,2,3,0
404VCLSCU,2006-06-06T07:00:00Z,3.1,1,0
405BRCSGR,2008-05-28T07:00:00Z,3.8,1,0
405CE0280,2015-07-06T07:00:00Z,3.8,1,0
405CE0280,2016-06-09T07:00:00Z,NA,3,0
405CE0280,2017-07-19T07:00:00Z,3.4,0,0
405M10598,2015-06-30T07:00:00Z,1.1,0,0
405M10599,2015-06-30T07:00:00Z,0.1,0,0
405M10600,2016-06-23T07:00:00Z,0.2,3,0
405PS0011,2017-06-29T07:00:00Z,0.6,0,0
405PS0030,2008-05-21T07:00:00Z,1.8,0,0
405PS0036,2008-05-28T07:00:00Z,2.2,8,0
405PS0036,2016-07-11T07:00:00Z,4.5,9,0
405SGB010,2010-06-18T07:00:00Z,11.1,0,0
405SGB010,2011-06-27T07:00:00Z,6.4,0,0
405SGRAAG,2008-05-28T07:00:00Z,2.4,3,0
405WER318,2009-03-27T07:00:00Z,NA,0,0
405WER318,2009-04-30T07:00:00Z,NA,0,0
405WER318,2009-06-02T07:00:00Z,5.7,0,0
405WER318,2009-07-07T07:00:00Z,NA,0,0
405WER318,2009-08-18T07:00:00Z,NA,0,0
407M01516,2015-06-24T07:00:00Z,1,3,0
408BA0036,2008-05-05T07:00:00Z,0.2,5,0
408BA0036,2015-06-15T07:00:00Z,0.3,8,10
408BA0036,2016-06-20T07:00:00Z,0.3,29,0
408BA0036,2017-04-27T07:00:00Z,0.3,0,0
408BA0036,2018-06-11T07:00:00Z,0.2,32,3
408BA0268,2008-05-06T07:00:00Z,3.4,0,0
408BA0580,2008-05-07T07:00:00Z,0.4,8,0
408BA0660,2008-05-06T07:00:00Z,0.4,2,0
408BA0660,2015-07-14T07:00:00Z,0.3,4,0
408BA0660,2016-06-20T07:00:00Z,NA,8,0
408BA0660,2017-04-27T07:00:00Z,1.4,4,0
408BA0660,2018-06-11T07:00:00Z,0,2,0
408BA0660,2019-06-17T07:00:00Z,0.3,0,0
408BA0836,2008-05-07T07:00:00Z,0.1,7,0
408BA0836,2015-06-24T07:00:00Z,0.1,10,4
408BA0836,2016-07-12T07:00:00Z,0.1,30,0
408BA0836,2017-06-21T07:00:00Z,0.8,6,0
408BA0836,2018-07-11T07:00:00Z,NA,7,0
408BA0836,2019-07-25T07:00:00Z,0,21,0
408BA0916,2008-05-08T07:00:00Z,0.4,3,0
408M03005,2015-06-15T07:00:00Z,1.3,0,0
408M03015,2015-06-15T07:00:00Z,1.3,3,0
408M03019,2015-07-14T07:00:00Z,1.6,1,0
408M03020,2016-07-12T07:00:00Z,0,9,0
408M03027,2016-06-29T07:00:00Z,2.4,1,0
408M03036,2016-06-20T07:00:00Z,0.1,98,0
408M03038,2017-04-27T07:00:00Z,0.3,0,6
