"Stratum","BiostimVar","BIgoal","BIgoal2","Prob","Prob2","Response","BSPretty","DevSet","Est","l95","u95"
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_H","Total N","Val",0.027027027027027,-Inf,0.0720720720720721
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_H","Total N","Cal",0.057057057057057,0.003003003003003,0.0990990990990991
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_H","Total N","Val",0.057057057057057,0.003003003003003,0.0990990990990991
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_H","Total N","Cal",0.114114114114114,0.0720720720720721,0.153153153153153
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_H","Total N","Val",0.114114114114114,0.0720720720720721,0.153153153153153
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_H","Total N","Cal",0.3003003003003,0.252252252252252,0.372372372372372
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_H","Total N","Val",0.3003003003003,0.252252252252252,0.372372372372372
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_H","Total P","Cal",0.00600600600600601,-Inf,0.015015015015015
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_H","Total P","Val",0.00600600600600601,-Inf,0.015015015015015
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_H","Total P","Cal",0.012012012012012,-Inf,0.0195195195195195
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_H","Total P","Val",0.012012012012012,-Inf,0.0195195195195195
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_H","Total P","Cal",0.024024024024024,0.0135135135135135,0.0315315315315315
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_H","Total P","Val",0.024024024024024,0.0135135135135135,0.0315315315315315
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_H","Total P","Cal",0.0630630630630631,0.0525525525525526,0.0810810810810811
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_H","Total P","Val",0.0630630630630631,0.0525525525525526,0.0810810810810811
"California","Chlorophyll_a_mgPerm2","BCG3","BCG3","p95","95% rel prob","ASCI_H","Chl-a","Cal",12.012012012012,-Inf,32.7327327327327
